epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2706,1.77595,2.93632,1.56098,0.01227,0.79847,0.27343,0.12759,1.70695,3.01146,1.37012,0.000653061,0.000653061,0.000653061
2,21.8899,1.69277,2.5578,1.529,0.27392,0.39759,0.20047,0.09875,1.67362,2.4244,1.45626,0.00131711,0.00131711,0.00131711
3,31.7304,1.70481,2.34946,1.52165,0.06371,0.51807,0.04752,0.01933,2.05799,16.6213,1.60541,0.00197853,0.00197853,0.00197853
4,42.2715,1.68345,2.15248,1.52998,0.18115,0.41023,0.20782,0.09583,1.98071,4.09547,1.62189,0.00198812,0.00198812,0.00198812
5,53.2286,1.71996,2.23357,1.58062,0.25126,0.35727,0.20774,0.08755,1.83235,4.44304,1.55857,0.00198416,0.00198416,0.00198416
6,64.1248,1.63153,2.00483,1.49229,0.42397,0.39869,0.315,0.10135,2.36831,2.04169,1.75501,0.0019802,0.0019802,0.0019802
7,75.4196,1.68648,2.04741,1.52309,0.52538,0.38192,0.3527,0.10045,2.30278,2.50465,1.74394,0.00197624,0.00197624,0.00197624
8,87.1617,1.61092,1.94935,1.47994,0.46649,0.31654,0.32049,0.12253,2.11859,2.17162,1.53514,0.00197228,0.00197228,0.00197228
9,98.9917,1.58332,2.03521,1.45038,0.54399,0.38664,0.409,0.18307,1.9475,2.98925,1.48552,0.00196832,0.00196832,0.00196832
10,110.333,1.57304,1.88003,1.47896,0.51741,0.52574,0.39377,0.17569,1.87158,1.94297,1.52386,0.00196436,0.00196436,0.00196436
11,121.778,1.52953,1.87752,1.45183,0.55549,0.43264,0.39153,0.12678,2.00208,2.12648,1.6084,0.0019604,0.0019604,0.0019604
12,133.148,1.50779,1.89014,1.43196,0.63898,0.52535,0.51083,0.21505,1.91482,1.92597,1.54381,0.00195644,0.00195644,0.00195644
13,144.719,1.52145,1.85511,1.43761,0.58237,0.52136,0.47016,0.22196,1.89298,1.76152,1.43955,0.00195248,0.00195248,0.00195248
14,156.229,1.48241,1.85568,1.42898,0.54239,0.49722,0.4382,0.25376,1.62301,1.72973,1.35083,0.00194852,0.00194852,0.00194852
15,167.353,1.46447,1.84243,1.39564,0.66125,0.48319,0.50414,0.28071,1.66065,1.67768,1.35691,0.00194456,0.00194456,0.00194456
16,178.558,1.48188,1.76138,1.39957,0.58043,0.46331,0.41923,0.10389,2.61792,1.93036,1.99976,0.0019406,0.0019406,0.0019406
17,190.401,1.49047,1.88924,1.40084,0.62698,0.52245,0.48144,0.28631,1.60275,1.64521,1.34048,0.00193664,0.00193664,0.00193664
18,201.329,1.50015,1.71776,1.40162,0.59996,0.50821,0.45784,0.23945,1.62617,2.26781,1.31981,0.00193268,0.00193268,0.00193268
19,212.505,1.45233,1.82148,1.38346,0.57106,0.53669,0.51443,0.26404,1.76324,1.7405,1.39756,0.00192872,0.00192872,0.00192872
20,223.701,1.48678,1.85643,1.40919,0.61566,0.54545,0.50167,0.32093,1.37428,1.59784,1.23677,0.00192476,0.00192476,0.00192476
21,235.176,1.41739,1.72642,1.36757,0.64742,0.56079,0.54321,0.31341,1.64314,1.67915,1.30889,0.0019208,0.0019208,0.0019208
22,246.219,1.4419,1.83137,1.37208,0.51875,0.40745,0.39865,0.23778,1.46092,1.79652,1.34872,0.00191684,0.00191684,0.00191684
23,257.681,1.40317,1.7392,1.34902,0.64441,0.5115,0.49934,0.2753,1.6439,1.69019,1.33392,0.00191288,0.00191288,0.00191288
24,268.905,1.4448,1.71204,1.35153,0.6271,0.51369,0.48453,0.23694,1.80363,1.66768,1.41058,0.00190892,0.00190892,0.00190892
25,280.223,1.43235,1.74174,1.36877,0.57761,0.51917,0.49998,0.32594,1.42426,1.63255,1.23401,0.00190496,0.00190496,0.00190496
26,291.453,1.40648,1.70326,1.36677,0.65277,0.52793,0.53819,0.22527,1.98951,1.76534,1.53161,0.001901,0.001901,0.001901
27,302.61,1.4063,1.72565,1.35521,0.61707,0.50821,0.4952,0.28912,1.65509,1.68138,1.35421,0.00189704,0.00189704,0.00189704
28,313.606,1.38679,1.66502,1.3615,0.65551,0.56063,0.5475,0.27346,1.81876,1.57849,1.36639,0.00189308,0.00189308,0.00189308
29,324.459,1.37524,1.67679,1.34476,0.61165,0.53478,0.50934,0.22296,2.07945,1.64492,1.6092,0.00188912,0.00188912,0.00188912
30,335.793,1.38371,1.73435,1.34396,0.42763,0.52903,0.34404,0.16568,1.64469,2.24603,1.35386,0.00188516,0.00188516,0.00188516
31,346.644,1.40028,1.68747,1.33327,0.64195,0.48112,0.50105,0.17263,2.20182,1.98234,1.62753,0.0018812,0.0018812,0.0018812
32,357.62,1.38187,1.67649,1.32012,0.59522,0.47513,0.46174,0.29954,1.40322,1.67455,1.21112,0.00187724,0.00187724,0.00187724
33,368.551,1.3402,1.62265,1.31892,0.67424,0.51698,0.53178,0.28065,1.609,1.60188,1.26142,0.00187328,0.00187328,0.00187328
34,379.749,1.33025,1.60579,1.30128,0.49031,0.55641,0.42751,0.22116,1.75743,1.86058,1.35798,0.00186932,0.00186932,0.00186932
35,390.942,1.38841,1.63962,1.34493,0.66557,0.56627,0.57548,0.36164,1.45096,1.44226,1.22602,0.00186536,0.00186536,0.00186536
36,402.157,1.35665,1.64077,1.33802,0.65765,0.5702,0.55183,0.30475,1.7004,1.55871,1.3327,0.0018614,0.0018614,0.0018614
